iter	Logloss
0	0.5362503426
1	0.4321492093
2	0.3602870611
3	0.3107683515
4	0.2776510215
5	0.2533310938
6	0.2356937596
7	0.2244392501
8	0.2152312819
9	0.2065457435
10	0.200855248
11	0.1962673527
12	0.1904700186
13	0.1864288704
14	0.1839334951
15	0.1812707275
16	0.1784696813
17	0.1766518042
18	0.1750248921
19	0.1728763276
20	0.1710264799
21	0.1697520409
22	0.1686417858
23	0.1674054125
24	0.1665782017
25	0.1658884618
26	0.1649265535
27	0.1643130029
28	0.1629633112
29	0.1621519174
30	0.1614897311
31	0.1610105259
32	0.1605177254
33	0.1597001704
34	0.1591720448
35	0.1588168252
36	0.1581924895
37	0.1576120671
38	0.1572183681
39	0.1569406132
40	0.1565402102
41	0.156225134
42	0.1559696622
43	0.1557201746
44	0.1555037405
45	0.1552154292
46	0.155085138
47	0.1548030925
48	0.1546483256
49	0.154384974
50	0.1542391326
51	0.1540133205
52	0.1535719542
53	0.1534388052
54	0.1532458968
55	0.1531376712
56	0.1529531291
57	0.1528229777
58	0.1526800112
59	0.1525535845
60	0.1523760256
61	0.1522408706
62	0.1521561323
63	0.1520619852
64	0.151920002
65	0.1515973446
66	0.1514567037
67	0.1513215271
68	0.1512053591
69	0.1510955912
70	0.1509189046
71	0.1508318251
72	0.1507349592
73	0.1506075916
74	0.1505482549
75	0.150457206
76	0.1504063538
77	0.1503349484
78	0.1502505764
79	0.1501922654
80	0.1501427878
81	0.1500937349
82	0.1500135476
83	0.1499501483
84	0.1498914688
85	0.1498396747
86	0.149710044
87	0.1496640051
88	0.1495150657
89	0.1493853728
90	0.14935237
91	0.1491964844
92	0.1491438392
93	0.1490710499
94	0.1490204895
95	0.1488946893
96	0.148858909
97	0.1488030291
98	0.14875828
99	0.1486996089
100	0.1486694908
101	0.1486138599
102	0.1485764124
103	0.1485521535
104	0.1485019315
105	0.1484586308
106	0.1484132784
107	0.1483403912
108	0.1482175077
109	0.1481409246
110	0.1481187131
111	0.1480690948
112	0.1479990523
113	0.147998353
114	0.1479288775
115	0.1478565648
116	0.1478177797
117	0.1477262779
118	0.1476868591
119	0.1476379445
120	0.147627527
121	0.1475812843
122	0.1475262233
123	0.1474825519
124	0.1474540279
125	0.1474053598
126	0.1472707005
127	0.1472135294
128	0.147183003
129	0.1471380578
130	0.1470900471
131	0.147010527
132	0.1469840597
133	0.1469272361
134	0.1468395108
135	0.1468084296
136	0.1467481967
137	0.146715341
138	0.146686629
139	0.1466476332
140	0.1466252621
141	0.1465890808
142	0.1465411132
143	0.1465032815
144	0.1464524182
145	0.1464504464
146	0.1464392885
147	0.1463724358
148	0.1463447016
149	0.1462516483
150	0.1462150399
151	0.1461787507
152	0.1461045694
153	0.1460866298
154	0.1460517937
155	0.1459920132
156	0.1459348264
157	0.1459094008
158	0.1458928917
159	0.1458673581
160	0.1458275807
161	0.1457854059
162	0.1457510998
163	0.1457002392
164	0.1456778334
165	0.1456520475
166	0.1456308571
167	0.1455950934
168	0.1455750144
169	0.1455532437
170	0.1455042005
171	0.1455028836
172	0.1454286252
173	0.1454148909
174	0.1453244539
175	0.1452329277
176	0.1452160269
177	0.1451899119
178	0.1451670895
179	0.1451563589
180	0.1451337996
181	0.1450959252
182	0.1450696717
183	0.1450038145
184	0.1449984827
185	0.1449640291
186	0.1449325703
187	0.1448974693
188	0.1448384082
189	0.1448350529
190	0.14481566
191	0.1447795682
192	0.1447275506
193	0.1447033219
194	0.1446952129
195	0.1446416051
196	0.1446239439
197	0.1445640724
198	0.144547533
199	0.1444866345
200	0.1444567657
201	0.1444536797
202	0.1443943831
203	0.1443674435
204	0.1443203104
205	0.1442841985
206	0.1442384129
207	0.1442285002
208	0.1441904437
209	0.1441493144
210	0.1440994302
211	0.1440976981
212	0.1440569896
213	0.144033398
214	0.1440194199
215	0.1439489189
216	0.1439255148
217	0.1438652898
218	0.1438391944
219	0.1438228742
220	0.1438117141
221	0.1438046258
222	0.1437719451
223	0.1437520843
224	0.1437232388
225	0.143681513
226	0.1436439807
227	0.1436251856
228	0.1435451087
229	0.1435180984
230	0.1434655897
231	0.1434610584
232	0.1434412917
233	0.1433941157
234	0.1433795616
235	0.1433383754
236	0.1433237562
237	0.1432994681
238	0.1432728326
239	0.143267444
240	0.1432374986
241	0.143219103
242	0.1432026011
243	0.1431596566
244	0.1431511904
245	0.1431303847
246	0.1431029222
247	0.1430420797
248	0.1430308035
249	0.1429982082
250	0.1429884926
251	0.1429837675
252	0.142950221
253	0.1429332258
254	0.1428696408
255	0.1428146122
