iter	Passed	Remaining
0	20	20819
1	46	23258
2	80	26885
3	107	26762
4	142	28295
5	166	27538
6	189	26849
7	214	26567
8	237	26172
9	269	26659
10	310	27911
11	344	28374
12	385	29267
13	418	29467
14	444	29169
15	471	29010
16	495	28667
17	519	28345
18	540	27897
19	566	27754
20	587	27406
21	613	27268
22	635	27003
23	674	27417
24	712	27776
25	747	28016
26	782	28193
27	816	28359
28	839	28110
29	864	27940
30	915	28614
31	945	28613
32	965	28304
33	987	28050
34	1009	27822
35	1035	27722
36	1064	27700
37	1087	27523
38	1112	27414
39	1134	27219
40	1171	27400
41	1203	27453
42	1228	27350
43	1252	27220
44	1277	27117
45	1313	27241
46	1352	27432
47	1393	27643
48	1433	27830
49	1475	28043
50	1513	28165
51	1550	28270
52	1588	28386
53	1627	28503
54	1670	28708
55	1702	28706
56	1725	28550
57	1748	28398
58	1772	28273
59	1809	28347
60	1834	28235
61	1855	28069
62	1887	28079
63	1945	28446
64	1986	28573
65	2022	28615
66	2050	28554
67	2075	28451
68	2104	28390
69	2134	28362
70	2170	28397
71	2195	28299
72	2216	28143
73	2245	28103
74	2282	28144
75	2307	28058
76	2335	27996
77	2372	28048
78	2416	28176
79	2459	28284
80	2475	28084
81	2511	28114
82	2548	28161
83	2583	28168
84	2620	28206
85	2657	28242
86	2695	28289
87	2732	28318
88	2769	28347
89	2807	28385
90	2849	28460
91	2886	28485
92	2929	28568
93	2987	28794
94	3025	28819
95	3065	28862
96	3101	28873
97	3136	28864
98	3174	28890
99	3208	28879
100	3250	28934
101	3286	28937
102	3328	28988
103	3367	29013
104	3407	29046
105	3446	29063
106	3484	29081
107	3522	29095
108	3559	29099
109	3601	29139
110	3640	29158
111	3678	29168
112	3716	29174
113	3754	29179
114	3795	29211
115	3838	29251
116	3877	29263
117	3912	29244
118	3954	29275
119	4010	29407
120	4047	29403
121	4085	29399
122	4126	29425
123	4164	29420
124	4200	29403
125	4248	29468
126	4287	29472
127	4331	29506
128	4358	29431
129	4379	29310
130	4401	29200
131	4436	29174
132	4473	29164
133	4511	29153
134	4550	29159
135	4577	29080
136	4622	29119
137	4661	29116
138	4700	29116
139	4740	29121
140	4779	29117
141	4816	29102
142	4859	29125
143	4905	29162
144	4949	29183
145	4991	29198
146	5059	29356
147	5098	29350
148	5128	29288
149	5172	29309
150	5216	29327
151	5258	29338
152	5305	29370
153	5340	29336
154	5384	29356
155	5425	29354
156	5464	29341
157	5506	29344
158	5553	29375
159	5592	29360
160	5634	29363
161	5676	29362
162	5718	29362
163	5757	29348
164	5800	29351
165	5838	29332
166	5879	29325
167	5917	29306
168	5953	29274
169	5987	29235
170	6009	29133
171	6129	29505
172	6172	29504
173	6210	29482
174	6249	29461
175	6290	29451
176	6327	29421
177	6366	29400
178	6404	29374
179	6441	29346
180	6490	29366
181	6531	29355
182	6572	29343
183	6628	29395
184	6677	29416
185	6712	29378
186	6760	29392
187	6796	29355
188	6838	29343
189	6877	29319
190	6915	29292
191	6960	29291
192	7001	29275
193	7049	29287
194	7085	29250
195	7104	29144
196	7169	29224
197	7215	29225
198	7252	29192
199	7289	29159
200	7341	29183
201	7364	29093
202	7392	29023
203	7416	28940
204	7458	28922
205	7481	28837
206	7536	28872
207	7578	28856
208	7619	28836
209	7664	28833
210	7703	28804
211	7749	28803
212	7802	28828
213	7839	28795
214	7880	28774
215	7920	28747
216	7957	28713
217	8000	28697
218	8039	28671
219	8090	28683
220	8134	28674
221	8191	28706
222	8237	28701
223	8276	28672
224	8312	28630
225	8348	28593
226	8385	28554
227	8420	28509
228	8457	28474
229	8500	28457
230	8539	28428
231	8578	28397
232	8618	28370
233	8666	28368
234	8714	28369
235	8756	28347
236	8801	28335
237	8836	28292
238	8875	28260
239	8917	28239
240	8959	28216
241	9001	28196
242	9044	28176
243	9088	28158
244	9126	28125
245	9157	28067
246	9206	28067
247	9256	28067
248	9295	28035
249	9333	27999
250	9372	27969
251	9413	27942
252	9454	27915
253	9492	27879
254	9531	27846
255	9579	27839
256	9616	27800
257	9655	27769
258	9699	27749
259	9738	27717
260	9778	27688
261	9818	27656
262	9872	27665
263	9918	27652
264	9949	27596
265	9975	27526
266	10011	27485
267	10048	27446
268	10085	27406
269	10117	27354
270	10139	27276
271	10179	27245
272	10228	27237
273	10274	27224
274	10314	27193
275	10365	27189
276	10402	27151
277	10441	27118
278	10487	27102
279	10529	27075
280	10572	27051
281	10610	27014
282	10656	27000
283	10710	27001
284	10746	26960
285	10796	26953
286	10841	26933
287	10881	26902
288	10928	26886
289	10973	26866
290	11020	26850
291	11063	26824
292	11100	26785
293	11149	26773
294	11207	26783
295	11267	26798
296	11308	26768
297	11365	26772
298	11393	26711
299	11427	26663
300	11459	26612
301	11485	26545
302	11526	26514
303	11569	26487
304	11614	26466
305	11665	26456
306	11704	26420
307	11748	26396
308	11789	26363
309	11830	26333
310	11876	26311
311	11916	26278
312	11959	26249
313	12001	26219
314	12043	26190
315	12089	26169
316	12143	26163
317	12180	26123
318	12216	26079
319	12256	26044
320	12373	26172
321	12416	26144
322	12457	26111
323	12498	26077
324	12542	26049
325	12578	26006
326	12613	25959
327	12649	25915
328	12690	25882
329	12729	25844
330	12771	25813
331	12811	25777
332	12858	25755
333	12894	25711
334	12932	25672
335	12975	25641
336	13017	25610
337	13062	25584
338	13106	25556
339	13149	25525
340	13174	25460
341	13212	25420
342	13255	25389
343	13292	25348
344	13331	25311
345	13403	25334
346	13440	25293
347	13480	25257
348	13522	25224
349	13557	25179
350	13601	25148
351	13638	25107
352	13678	25071
353	13718	25033
354	13756	24994
355	13800	24965
356	13843	24934
357	13885	24900
358	13927	24868
359	13973	24841
360	14014	24806
361	14054	24769
362	14078	24704
363	14112	24657
364	14144	24608
365	14175	24555
366	14211	24511
367	14243	24461
368	14277	24414
369	14308	24363
370	14350	24330
371	14403	24315
372	14454	24296
373	14494	24261
374	14535	24225
375	14579	24196
376	14616	24154
377	14665	24131
378	14718	24116
379	14760	24082
380	14801	24046
381	14835	24001
382	14880	23971
383	14920	23934
384	14956	23892
385	14998	23857
386	15034	23815
387	15066	23764
388	15101	23719
389	15125	23657
390	15162	23616
391	15195	23568
392	15229	23522
393	15257	23467
394	15309	23449
395	15344	23404
396	15384	23367
397	15427	23334
398	15482	23320
399	15524	23286
400	15563	23247
401	15600	23206
402	15639	23168
403	15679	23131
404	15719	23094
405	15757	23054
406	15793	23010
407	15845	22991
408	15883	22951
409	15922	22912
410	15955	22866
411	16003	22840
412	16032	22786
413	16076	22756
414	16121	22725
415	16154	22678
416	16207	22658
417	16230	22598
418	16274	22566
419	16313	22528
420	16354	22492
421	16391	22450
422	16430	22412
423	16492	22405
424	16539	22376
425	16581	22341
426	16626	22311
427	16657	22261
428	16706	22236
429	16762	22220
430	16807	22188
431	16848	22152
432	16889	22116
433	16929	22078
434	16979	22054
435	17020	22017
436	17059	21978
437	17109	21953
438	17159	21928
439	17196	21886
440	17240	21853
441	17278	21813
442	17327	21786
443	17367	21748
444	17411	21716
445	17450	21676
446	17503	21653
447	17558	21634
448	17599	21597
449	17643	21563
450	17674	21515
451	17709	21470
452	17750	21434
453	17786	21390
454	17827	21353
455	17865	21313
456	17909	21280
457	17952	21245
458	17999	21214
459	18034	21171
460	18068	21126
461	18105	21083
462	18158	21060
463	18198	21022
464	18242	20989
465	18287	20955
466	18325	20915
467	18365	20876
468	18404	20837
469	18442	20797
470	18480	20756
471	18608	20815
472	18681	20814
473	18720	20774
474	18762	20737
475	18804	20700
476	18842	20659
477	18888	20627
478	18935	20595
479	18978	20560
480	19020	20522
481	19063	20486
482	19116	20462
483	19148	20414
484	19188	20375
485	19234	20342
486	19275	20304
487	19313	20263
488	19354	20225
489	19398	20190
490	19437	20150
491	19479	20113
492	19517	20071
493	19563	20039
494	19604	20000
495	19654	19971
496	19693	19931
497	19741	19900
498	19789	19868
499	19834	19834
500	19874	19795
501	19916	19757
502	19955	19717
503	19991	19674
504	20041	19644
505	20084	19608
506	20123	19567
507	20163	19528
508	20205	19490
509	20243	19449
510	20282	19409
511	20328	19375
512	20374	19341
513	20424	19311
514	20473	19280
515	20498	19226
516	20528	19178
517	20561	19132
518	20607	19098
519	20647	19059
520	20721	19050
521	20762	19012
522	20801	18971
523	20846	18937
524	20885	18896
525	20919	18851
526	20967	18819
527	21007	18779
528	21039	18732
529	21076	18690
530	21126	18660
531	21159	18613
532	21201	18576
533	21228	18525
534	21272	18489
535	21312	18449
536	21339	18399
537	21361	18344
538	21389	18294
539	21433	18258
540	21479	18224
541	21521	18186
542	21554	18141
543	21599	18105
544	21638	18065
545	21678	18025
546	21739	18003
547	21782	17966
548	21817	17922
549	21845	17873
550	21872	17823
551	21905	17778
552	21935	17731
553	21974	17691
554	22005	17643
555	22035	17596
556	22065	17549
557	22092	17499
558	22133	17461
559	22178	17426
560	22221	17388
561	22262	17350
562	22305	17313
563	22347	17275
564	22390	17238
565	22428	17198
566	22466	17157
567	22515	17124
568	22548	17079
569	22590	17041
570	22634	17005
571	22672	16964
572	22715	16927
573	22776	16903
574	22807	16857
575	22843	16815
576	22877	16771
577	22916	16731
578	22948	16685
579	22991	16648
580	23014	16597
581	23050	16555
582	23077	16506
583	23122	16470
584	23175	16440
585	23220	16404
586	23269	16371
587	23299	16325
588	23326	16277
589	23372	16242
590	23410	16200
591	23449	16160
592	23489	16121
593	23528	16082
594	23575	16046
595	23616	16008
596	23654	15968
597	23685	15922
598	23728	15885
599	23801	15867
600	23853	15836
601	23891	15795
602	23929	15754
603	23970	15715
604	24008	15674
605	24053	15638
606	24089	15596
607	24135	15561
608	24171	15519
609	24211	15479
610	24251	15439
611	24294	15402
612	24338	15365
613	24380	15327
614	24421	15288
615	24461	15248
616	24508	15213
617	24542	15170
618	24580	15129
619	24622	15090
620	24678	15061
621	24720	15023
622	24767	14987
623	24930	15022
624	24982	14989
625	25007	14940
626	25031	14891
627	25056	14842
628	25081	14793
629	25116	14750
630	25153	14709
631	25199	14673
632	25237	14632
633	25269	14587
634	25293	14538
635	25337	14501
636	25378	14462
637	25422	14424
638	25465	14386
639	25510	14349
640	25557	14313
641	25595	14273
642	25632	14231
643	25667	14188
644	25705	14147
645	25753	14112
646	25790	14071
647	25832	14032
648	25876	13994
649	25932	13963
650	25969	13921
651	25991	13872
652	26016	13825
653	26042	13777
654	26073	13733
655	26114	13694
656	26156	13655
657	26198	13616
658	26237	13576
659	26291	13544
660	26330	13503
661	26372	13465
662	26410	13424
663	26448	13383
664	26488	13343
665	26528	13304
666	26571	13266
667	26617	13228
668	26642	13181
669	26686	13144
670	26723	13102
671	26762	13062
672	26793	13018
673	26828	12976
674	26847	12926
675	26881	12884
676	26914	12841
677	26979	12813
678	27021	12774
679	27074	12740
680	27108	12698
681	27161	12664
682	27183	12616
683	27216	12573
684	27246	12529
685	27290	12491
686	27320	12447
687	27334	12396
688	27362	12350
689	27395	12307
690	27436	12268
691	27460	12222
692	27481	12174
693	27505	12127
694	27529	12081
695	27557	12036
696	27596	11996
697	27630	11954
698	27663	11912
699	27709	11875
700	27767	11843
701	27805	11803
702	27841	11762
703	27892	11727
704	27919	11682
705	27947	11638
