iter	Logloss
0	0.5352447151
1	0.431005286
2	0.3623088871
3	0.3147143963
4	0.2813261289
5	0.2569420515
6	0.2414660148
7	0.2281095061
8	0.2160026102
9	0.2057996937
10	0.2000439524
11	0.1941669199
12	0.1902526037
13	0.1864951559
14	0.1837328194
15	0.181360277
16	0.1786319561
17	0.1770055985
18	0.1746267586
19	0.1730244544
20	0.1713311369
21	0.169507489
22	0.1685953643
23	0.1674354714
24	0.1667627291
25	0.1656006208
26	0.1648302762
27	0.163452841
28	0.1629216149
29	0.161958496
30	0.1614541688
31	0.1606562231
32	0.1599916125
33	0.159555864
34	0.1591156727
35	0.1587454472
36	0.1581007631
37	0.1577043858
38	0.1573515351
39	0.1571143402
40	0.1567221918
41	0.1565217193
42	0.1561849159
43	0.1556704396
44	0.1554800938
45	0.1552974794
46	0.1550773929
47	0.1547004391
48	0.1544895994
49	0.154142306
50	0.1539694188
51	0.1537767546
52	0.1535688786
53	0.153401885
54	0.1531707095
55	0.1529916883
56	0.1528487366
57	0.1527309044
58	0.1524748599
59	0.1523275214
60	0.1521830996
61	0.1520918547
62	0.1519986104
63	0.1518464144
64	0.1517169682
65	0.1515588628
66	0.151454617
67	0.1513625766
68	0.1512091167
69	0.1511448482
70	0.1511042031
71	0.1510042019
72	0.1509225382
73	0.1507664119
74	0.1506607573
75	0.1505935156
76	0.1505272446
77	0.1504550489
78	0.1503182619
79	0.1502700237
80	0.1502635013
81	0.1502033232
82	0.1501406673
83	0.1500793896
84	0.1500195835
85	0.1499045282
86	0.1498492345
87	0.1497386572
88	0.149676857
89	0.1496183709
90	0.1495318157
91	0.1494497269
92	0.1493662153
93	0.1493021671
94	0.1492474981
95	0.1491228928
96	0.1490613218
97	0.1490121434
98	0.1489113379
99	0.1488400124
100	0.1487954585
101	0.1487159443
102	0.1486859206
103	0.1486211889
104	0.1484320265
105	0.1483794331
106	0.1483483783
107	0.1483256149
108	0.1481861032
109	0.1481261493
110	0.1480743853
111	0.1480115367
112	0.1479395567
113	0.1478182204
114	0.1477621259
115	0.1477388066
116	0.1476859401
117	0.1475738641
118	0.1474947127
119	0.1474490688
120	0.1474166733
121	0.1474069162
122	0.1473809999
123	0.1473415063
124	0.1472787321
125	0.1472381172
126	0.1471933383
127	0.1471688062
128	0.1470870889
129	0.1470237003
130	0.1469604191
131	0.1468632443
132	0.146860688
133	0.1468561086
134	0.1468178624
135	0.1468170593
136	0.1467820701
137	0.1467608758
138	0.1466987571
139	0.1466008985
140	0.1466001472
141	0.1464643756
142	0.146400933
143	0.1463917068
144	0.1463656847
145	0.1463129548
146	0.1462932928
147	0.1462520243
148	0.1462212343
149	0.1461826802
150	0.1461532395
151	0.1460900804
152	0.1460796789
153	0.1460634118
154	0.1460303746
155	0.1460222697
156	0.1460189997
157	0.1460052597
158	0.145929527
159	0.1459092061
160	0.1458706125
161	0.1458124995
162	0.1457703683
163	0.1457340203
164	0.1457274357
165	0.1456957291
166	0.1456505735
167	0.1456365106
168	0.1455319818
169	0.1455006596
170	0.1454747805
171	0.1454130156
172	0.1454103802
173	0.1453197021
174	0.1452825267
175	0.1452364566
176	0.1452255773
177	0.1451790555
178	0.145148252
179	0.1450854522
180	0.145013859
181	0.1449433221
182	0.1449257277
183	0.1448655162
184	0.1448145402
185	0.1447861823
186	0.1446756303
187	0.1446314532
188	0.1446155215
189	0.1445226761
190	0.1444881627
191	0.1444278776
192	0.1443919458
193	0.1443646486
194	0.1443200181
195	0.1442562488
196	0.1442033195
197	0.1441450472
198	0.1441344972
199	0.1441137188
200	0.1440510783
201	0.1440039867
202	0.1439709136
203	0.1439213267
204	0.1438973709
205	0.1438419891
206	0.1438327853
207	0.1438056464
208	0.1437739597
209	0.1437502546
210	0.1436851803
211	0.1436460173
212	0.143617268
213	0.1435845916
214	0.1434806805
215	0.1434605921
216	0.143419098
217	0.1433866507
218	0.1433765351
219	0.1433512211
220	0.143295501
221	0.1432094207
222	0.1431528259
223	0.1431063402
224	0.1430737772
225	0.1430333308
226	0.1430035448
227	0.1429705505
228	0.1429615383
229	0.1429436271
230	0.142910203
231	0.1428494809
232	0.1427903579
233	0.1427645059
234	0.1427346506
235	0.1427253712
236	0.1426795325
237	0.1426341052
238	0.1425894467
239	0.1425529743
240	0.1425199945
241	0.1424800738
242	0.1424518974
243	0.1424248391
244	0.1423925984
245	0.1423525368
246	0.1423031939
247	0.1422644747
248	0.142245961
249	0.1422159473
250	0.1421953918
251	0.1421173785
252	0.1420918716
253	0.142067559
254	0.1420574154
255	0.1420102252
256	0.1419734157
257	0.1419312102
258	0.1418875168
259	0.1418602233
260	0.1418312748
261	0.1417859902
262	0.1417385847
263	0.1417183787
264	0.141684982
265	0.1416458334
266	0.1416284427
267	0.1415822303
268	0.1415475986
269	0.1415165499
270	0.141502075
271	0.1414593654
272	0.1414377158
273	0.1414079404
274	0.1413884938
275	0.1413784743
276	0.1413456613
277	0.1413340287
278	0.1413134117
279	0.1412540322
280	0.1412323528
281	0.1411855568
282	0.1411749651
283	0.1411533213
284	0.1411472966
285	0.1411320135
286	0.1410979589
287	0.1410594203
288	0.1410412086
289	0.1410264108
290	0.14098648
291	0.1409709656
292	0.1409594598
293	0.1409320559
294	0.1409075412
295	0.1408874315
296	0.1408821841
297	0.1408382199
298	0.1407936034
299	0.1407775424
300	0.1407617388
301	0.1407019848
302	0.1406810663
303	0.1406579907
304	0.1406324227
305	0.1406170606
306	0.1406102893
307	0.1405823344
308	0.1405566856
309	0.1404938053
310	0.1404739105
311	0.1404556303
312	0.1404267321
313	0.1403994685
314	0.1403560791
315	0.140318363
316	0.1403019942
317	0.1402606248
318	0.1402393721
319	0.1402142497
320	0.1401849731
321	0.1401573477
322	0.1401369427
323	0.1400738078
324	0.1400387991
325	0.1399965854
326	0.1399807987
327	0.1399641241
328	0.1399382585
329	0.1398952546
330	0.1398622337
331	0.1398461957
332	0.139803176
333	0.1397628046
334	0.1397181131
335	0.1396949035
336	0.1396679339
337	0.1396539863
338	0.1396189127
339	0.1395943017
340	0.1395829628
341	0.1395356582
342	0.1394934727
343	0.1394125086
344	0.1393935189
345	0.139363369
346	0.1393355297
347	0.1393271387
348	0.1393129494
349	0.1392521839
350	0.1392167111
351	0.1392004588
352	0.1391843988
353	0.1391582541
354	0.1391357694
355	0.1391258947
356	0.1390480652
357	0.1390317632
358	0.1390234737
359	0.1389869778
360	0.138970962
361	0.1389445012
362	0.1389239483
363	0.1389084215
364	0.1388625267
365	0.1388204264
