iter	Logloss
0	0.5351358175
1	0.4307529739
2	0.359928267
3	0.3130274545
4	0.2825020636
5	0.2579550253
6	0.2385747133
7	0.2247873787
8	0.2136672829
9	0.2052177001
10	0.2005245031
11	0.196194311
12	0.1908360335
13	0.1880713221
14	0.1844039516
15	0.1813417495
16	0.1799156334
17	0.1771898068
18	0.1761857634
19	0.1738699545
20	0.1717653248
21	0.1701987827
22	0.1690911263
23	0.1681625241
24	0.1673000007
25	0.1659898792
26	0.1651534987
27	0.1642464202
28	0.1635965441
29	0.162576774
30	0.1620955673
31	0.1615412152
32	0.1608306717
33	0.1598898051
34	0.1595173787
35	0.1592923119
36	0.1587433255
37	0.1582751136
38	0.1578966206
39	0.1575397152
40	0.1572189705
41	0.1567526126
42	0.156395276
43	0.1561837517
44	0.1559274856
45	0.1555907398
46	0.1553466062
47	0.1551714778
48	0.1549667052
49	0.1545718447
50	0.1542607144
51	0.1541137933
52	0.1539376257
53	0.1536973486
54	0.1535047642
55	0.1532931697
56	0.1531790276
57	0.152975173
58	0.1528361256
59	0.1527215561
60	0.1526270873
61	0.1525577258
62	0.1525472608
63	0.1523994893
64	0.152320293
65	0.1522015587
66	0.1521097341
67	0.1518473901
68	0.1517734933
69	0.151582055
70	0.1515003345
71	0.151375478
72	0.1512796506
73	0.1511883655
74	0.1511243671
75	0.1510367196
76	0.1509517157
77	0.150863673
78	0.150791311
79	0.1506697807
80	0.1506294563
81	0.1505704857
82	0.150454437
83	0.150369983
84	0.1502909135
85	0.1502407767
86	0.1501088145
87	0.1500475645
88	0.1499740747
89	0.1498990076
90	0.1498571689
91	0.1497514686
92	0.1496430239
93	0.1496428895
94	0.1495695621
95	0.1494110325
96	0.1493243487
97	0.1492695469
98	0.1491640115
99	0.1491139027
100	0.1490540952
101	0.1489887015
102	0.1488901976
103	0.148784017
104	0.1487522884
105	0.148672536
106	0.148574697
107	0.1484930103
108	0.1484443978
109	0.1483943011
110	0.1483507275
111	0.1483127315
112	0.1482679299
113	0.148195209
114	0.1481204367
115	0.1480151613
116	0.1479686262
117	0.1479182807
118	0.1478860716
119	0.1478076047
120	0.147764453
121	0.1477128572
122	0.1476129541
123	0.1475525775
124	0.1475121597
125	0.147452753
126	0.1474203867
127	0.1472973653
128	0.1472299977
129	0.1471441636
130	0.1470942118
131	0.147069257
132	0.1470023265
133	0.1469349624
134	0.1468915158
135	0.1468595156
136	0.1468161967
137	0.1467544236
138	0.1467181969
139	0.146693045
140	0.1466457722
141	0.1466379321
142	0.1466083375
143	0.1464928236
144	0.1464560107
145	0.1463741266
146	0.1462908042
147	0.1462350047
148	0.1462090748
149	0.1461607395
150	0.1460812833
151	0.1460589939
152	0.1460223454
153	0.1459896289
154	0.1459366023
155	0.1458865358
156	0.1458435091
157	0.1458218804
158	0.1458026158
159	0.1457613116
160	0.1457103774
161	0.1456379946
162	0.1455914982
163	0.1455080331
164	0.145477984
165	0.1454184783
166	0.1453561197
167	0.1453150192
168	0.1452907032
169	0.1452352466
170	0.145173399
171	0.1451037609
172	0.145090321
173	0.1450554588
174	0.1450307958
175	0.1450142087
176	0.1449563194
177	0.1449293797
178	0.1448551642
179	0.1448115039
180	0.1447923503
181	0.1447493624
182	0.1446672949
183	0.1446108362
184	0.1445672183
185	0.1445293007
186	0.1444922737
187	0.1444740887
188	0.1444087672
189	0.1443691184
190	0.14429033
191	0.1442383389
192	0.1442283842
193	0.1441879559
194	0.1441568625
195	0.1441196481
196	0.1441179752
197	0.1440684407
198	0.1440425827
199	0.1439940667
200	0.143967033
201	0.1439270515
202	0.1438805041
203	0.1438371107
204	0.1437969465
205	0.1437483008
206	0.1437314258
207	0.1436546849
208	0.1436200906
209	0.143567422
210	0.1435548593
211	0.1435137214
212	0.1434415721
213	0.1433929001
214	0.1433306654
215	0.143295888
216	0.1432639118
217	0.1432529205
218	0.1431951087
219	0.1431748868
220	0.1431182843
221	0.1430516203
222	0.1430372427
223	0.1430105145
224	0.143000656
225	0.1429875354
226	0.1429732945
227	0.1429484956
228	0.1429178225
229	0.1428874697
230	0.1428575146
231	0.1428413369
232	0.1427849909
233	0.1427372275
234	0.1427264525
235	0.1427094975
236	0.1426717028
237	0.1426557035
238	0.1426194333
239	0.1425624864
240	0.142547949
241	0.1425001653
242	0.1424903562
243	0.1424528238
244	0.1424270825
245	0.1423898239
246	0.1423264794
247	0.1422886827
248	0.1422712291
249	0.1422035324
250	0.1421617725
251	0.1421290369
252	0.1420722121
253	0.142054586
254	0.1420032865
255	0.1419739927
256	0.14195063
257	0.1418980829
258	0.1418907799
259	0.1418707659
260	0.1418423711
261	0.1418158307
262	0.1417476436
263	0.1417008566
264	0.1416538225
265	0.1416195863
266	0.1415671386
267	0.1415645204
268	0.141547681
269	0.1415420054
270	0.1415015931
271	0.1414875103
272	0.141453025
273	0.1414468987
274	0.141439793
275	0.1414297483
276	0.141380707
277	0.1413718726
278	0.1413591647
279	0.1413487128
280	0.1413041338
281	0.141255425
282	0.1412165783
283	0.1411803606
284	0.1411704096
285	0.1411372349
286	0.1411180228
287	0.1410937366
288	0.1410511975
289	0.1410280797
290	0.1409614
291	0.1409092342
292	0.1408828277
293	0.1408710468
294	0.1408616644
295	0.1408402474
296	0.1407899904
297	0.1407712197
298	0.1407263039
299	0.1407154579
300	0.1406869549
301	0.1406790975
302	0.1406570934
303	0.1406131187
304	0.1405777025
305	0.140548738
306	0.1405300168
307	0.140522616
308	0.1404949532
309	0.1404570293
310	0.1404262933
311	0.1404098528
312	0.1403873885
313	0.1403575069
314	0.140318773
315	0.1402415934
316	0.1401813723
317	0.1401662786
318	0.1401219203
319	0.140117985
320	0.1400666255
321	0.1400409674
322	0.14001551
323	0.1399639582
324	0.1399270146
325	0.1399029286
326	0.1398847507
327	0.1398636946
328	0.1398306669
329	0.1398240597
330	0.1397735999
331	0.1397171822
332	0.1396991729
333	0.1396601044
334	0.1395914237
335	0.1395847126
336	0.1395748216
337	0.1395532422
338	0.1395196024
339	0.1395130181
340	0.1395020562
341	0.1394727783
342	0.1394525263
343	0.1394040302
344	0.1393613763
345	0.1393290861
346	0.1393240262
347	0.1392502294
348	0.1392136226
349	0.1392039584
350	0.1391737886
351	0.1391261502
352	0.1390907358
353	0.1390713952
354	0.1390388117
355	0.1390172765
356	0.1389924511
357	0.1389368031
358	0.1388864405
359	0.1388625501
360	0.1388365815
361	0.1388158329
362	0.1387942463
363	0.138779853
364	0.1387433296
365	0.1387347018
366	0.1387178286
367	0.1386963008
368	0.138671405
369	0.1386119152
370	0.1385915695
371	0.1385724886
372	0.1385457846
373	0.1385391641
374	0.1385176888
375	0.1385041802
376	0.1384411444
377	0.1383878509
378	0.1383705977
379	0.1383328795
380	0.1383218978
381	0.1382973833
382	0.1382466679
383	0.1382362328
384	0.1381640634
385	0.1381348863
386	0.1381294137
387	0.1380785076
388	0.1380479355
389	0.1379999709
390	0.1379289266
391	0.1378920147
392	0.1378641204
393	0.1378411762
394	0.1378231014
