iter	Passed	Remaining
0	30	30077
1	54	27136
2	86	28591
3	114	28403
4	139	27699
5	164	27286
6	189	26893
7	219	27201
8	245	27063
9	270	26778
10	292	26331
11	315	25980
12	359	27294
13	391	27585
14	411	27027
15	442	27197
16	476	27542
17	512	27978
18	549	28391
19	590	28930
20	630	29402
21	663	29503
22	703	29896
23	741	30170
24	780	30443
25	819	30684
26	858	30925
27	902	31315
28	939	31472
29	977	31611
30	1017	31816
31	1052	31844
32	1090	31943
33	1129	32084
34	1165	32134
35	1203	32238
36	1241	32311
37	1284	32522
38	1323	32607
39	1441	34590
40	1487	34790
41	1523	34747
42	1548	34459
43	1570	34123
44	1609	34148
45	1647	34164
46	1684	34155
47	1711	33951
48	1729	33568
49	1754	33341
50	1793	33372
51	1835	33468
52	1876	33527
53	1900	33299
54	1944	33408
55	1972	33242
56	1996	33025
57	2018	32783
58	2044	32611
59	2070	32444
60	2098	32296
61	2138	32352
62	2159	32118
63	2208	32298
64	2243	32277
65	2282	32299
66	2324	32374
67	2363	32387
68	2402	32412
69	2437	32379
70	2481	32467
71	2521	32499
72	2557	32476
73	2592	32444
74	2614	32242
75	2636	32049
76	2681	32142
77	2722	32175
78	2762	32206
79	2805	32261
80	2841	32235
81	2880	32245
82	2923	32298
83	2965	32333
84	3003	32328
85	3043	32346
86	3085	32378
87	3124	32381
88	3149	32239
89	3176	32122
90	3198	31946
91	3224	31828
92	3250	31700
93	3261	31432
94	3282	31273
95	3306	31139
96	3334	31038
97	3372	31039
98	3409	31028
99	3451	31061
100	3499	31147
101	3542	31189
102	3579	31170
103	3614	31139
104	3661	31211
105	3697	31187
106	3739	31207
107	3776	31194
108	3816	31195
109	3855	31192
110	3893	31186
111	3934	31195
112	3974	31199
113	4013	31191
114	4049	31159
115	4087	31146
116	4123	31122
117	4160	31096
118	4197	31076
119	4234	31055
120	4273	31042
121	4311	31026
122	4348	31006
123	4391	31022
124	4430	31010
125	4472	31022
126	4522	31088
127	4560	31069
128	4596	31032
129	4633	31007
130	4675	31014
131	4714	31000
132	4757	31016
133	4795	30989
134	4833	30967
135	4876	30977
136	4917	30978
137	4963	31005
138	4997	30956
139	5032	30911
140	5083	30967
141	5125	30967
142	5167	30966
143	5209	30967
144	5252	30970
145	5295	30974
146	5337	30974
147	5381	30981
148	5427	30999
149	5466	30976
150	5504	30949
151	5559	31015
152	5597	30988
153	5642	30995
154	5665	30884
155	5696	30820
156	5726	30749
157	5754	30665
158	5784	30593
159	5828	30601
160	5869	30589
161	5926	30658
162	5966	30639
163	6001	30591
164	6038	30557
165	6076	30529
166	6112	30490
167	6148	30449
168	6187	30422
169	6224	30388
170	6261	30354
171	6310	30378
172	6345	30335
173	6380	30291
174	6418	30256
175	6459	30240
176	6514	30289
177	6561	30303
178	6603	30287
179	6645	30272
180	6680	30226
181	6714	30180
182	6758	30174
183	6792	30123
184	6834	30107
185	6879	30108
186	6920	30086
187	6959	30059
188	7004	30055
189	7049	30054
190	7095	30055
191	7138	30042
192	7182	30031
193	7218	29988
194	7253	29942
195	7294	29924
196	7333	29893
197	7368	29848
198	7413	29839
199	7458	29835
200	7505	29835
201	7544	29805
202	7598	29833
203	7639	29807
204	7667	29733
205	7715	29736
206	7756	29713
207	7795	29684
208	7836	29657
209	7880	29646
210	7921	29620
211	7958	29581
212	7992	29531
213	8032	29501
214	8079	29500
215	8117	29463
216	8163	29457
217	8202	29423
218	8247	29412
219	8290	29394
220	8327	29354
221	8371	29336
222	8413	29313
223	8451	29277
224	8486	29230
225	8525	29198
226	8566	29169
227	8622	29195
228	8656	29143
