iter	Passed	Remaining
0	24	24548
1	57	28863
2	95	31608
3	130	32594
4	169	33795
5	217	36093
6	256	36349
7	293	36414
8	330	36406
9	361	35816
10	399	35956
11	440	36233
12	476	36174
13	511	36025
14	550	36121
15	588	36165
16	628	36362
17	666	36345
18	705	36431
19	744	36470
20	781	36429
21	817	36332
22	854	36314
23	886	36070
24	924	36044
25	960	35980
26	999	36028
27	1036	35988
28	1073	35944
29	1113	36002
30	1147	35879
31	1180	35710
32	1228	35986
33	1264	35932
34	1304	35957
35	1340	35905
36	1379	35908
37	1407	35634
38	1433	35334
39	1471	35319
40	1498	35054
41	1541	35149
42	1581	35193
43	1619	35186
44	1659	35223
45	1686	34972
46	1723	34941
47	1755	34824
48	1793	34806
49	1831	34800
50	1857	34559
51	1887	34405
52	1924	34386
53	1965	34434
54	2005	34451
55	2043	34448
56	2083	34461
57	2120	34434
58	2160	34464
59	2199	34465
60	2249	34622
61	2290	34654
62	2328	34635
63	2366	34611
64	2403	34573
65	2444	34589
66	2480	34544
67	2519	34528
68	2557	34510
69	2591	34424
70	2630	34413
71	2670	34419
72	2707	34383
73	2747	34376
74	2787	34379
75	2829	34405
76	2863	34330
77	2902	34303
78	2948	34372
79	2992	34414
80	3029	34376
81	3071	34384
82	3106	34324
83	3143	34282
84	3198	34431
85	3250	34547
86	3281	34439
87	3319	34399
88	3357	34368
89	3392	34305
90	3427	34233
91	3464	34191
92	3504	34174
93	3541	34131
94	3575	34057
95	3611	34011
96	3647	33952
97	3684	33909
98	3721	33871
99	3778	34006
100	3817	33982
101	3854	33937
102	3883	33824
103	3933	33885
104	3971	33852
105	4011	33829
106	4031	33647
107	4056	33501
108	4068	33255
109	4092	33114
110	4113	32943
111	4163	33013
112	4180	32812
113	4213	32745
114	4321	33255
115	4362	33243
116	4401	33218
117	4444	33217
118	4478	33152
119	4502	33016
120	4543	33007
121	4568	32875
122	4604	32829
123	4627	32690
124	4675	32728
125	4714	32700
126	4752	32666
127	4785	32601
128	4813	32498
129	4840	32394
130	4862	32254
131	4902	32236
132	4942	32217
133	4975	32156
134	5003	32060
135	5027	31938
136	5070	31938
137	5110	31921
138	5155	31933
139	5199	31940
140	5239	31922
141	5280	31908
142	5333	31962
143	5369	31918
144	5410	31901
145	5447	31862
146	5491	31865
147	5533	31856
148	5571	31821
149	5595	31706
150	5639	31710
151	5684	31714
152	5724	31689
153	5760	31646
154	5802	31635
155	5840	31598
156	5889	31623
157	5933	31619
158	5974	31599
159	6011	31559
160	6051	31534
161	6092	31513
162	6134	31501
163	6159	31400
164	6192	31339
165	6237	31339
166	6277	31312
167	6320	31299
168	6362	31285
169	6390	31201
170	6441	31225
171	6484	31218
172	6532	31226
173	6567	31174
174	6605	31140
175	6650	31137
176	6698	31146
177	6736	31110
178	6768	31046
179	6806	31008
180	6855	31020
181	6894	30989
182	6943	30998
183	6980	30956
184	7017	30912
185	7053	30869
186	7082	30790
187	7126	30778
188	7168	30759
189	7206	30722
190	7249	30707
191	7291	30685
192	7332	30659
193	7380	30664
194	7418	30625
195	7451	30567
196	7491	30535
197	7540	30542
198	7578	30505
199	7620	30482
200	7667	30480
201	7710	30461
202	7751	30433
203	7790	30399
204	7829	30363
205	7873	30347
206	7918	30335
207	7961	30313
208	7999	30274
209	8045	30264
210	8090	30251
211	8132	30229
212	8177	30214
213	8217	30181
214	8263	30169
215	8302	30135
216	8341	30098
217	8392	30103
218	8427	30054
219	8462	30004
220	8518	30025
221	8558	29992
222	8599	29963
223	8641	29937
224	8693	29945
225	8735	29917
226	8774	29879
227	8814	29846
228	8856	29817
229	8894	29776
230	8934	29744
231	8974	29710
232	9016	29682
233	9052	29635
234	9091	29594
235	9118	29519
236	9155	29474
237	9191	29427
238	9233	29399
239	9277	29379
240	9317	29343
241	9354	29301
242	9414	29328
243	9456	29298
244	9492	29253
245	9533	29221
246	9575	29193
247	9618	29166
248	9658	29130
249	9696	29090
250	9741	29068
251	9783	29040
252	9823	29005
253	9865	28975
254	9905	28939
255	9948	28911
256	9992	28889
257	10032	28852
258	10079	28836
259	10122	28811
260	10160	28768
261	10199	28729
262	10235	28683
263	10282	28667
264	10337	28672
265	10391	28674
266	10429	28631
267	10467	28590
268	10510	28563
269	10555	28539
270	10587	28479
271	10629	28448
272	10668	28410
273	10707	28370
274	10737	28306
275	10779	28276
276	10829	28266
277	10868	28226
278	10893	28150
279	10933	28113
280	10982	28100
281	11028	28079
282	11074	28056
283	11103	27992
284	11143	27957
285	11188	27931
286	11224	27884
287	11261	27842
288	11308	27821
289	11351	27791
290	11407	27793
291	11443	27747
292	11480	27702
293	11524	27673
294	11564	27636
295	11601	27593
296	11648	27571
297	11706	27576
298	11744	27534
299	11781	27490
300	11831	27475
301	11876	27448
302	11920	27420
303	11962	27386
304	12005	27357
305	12046	27322
306	12086	27283
307	12128	27250
308	12170	27215
