iter	Logloss
0	0.5338107837
1	0.4284965707
2	0.3577872177
3	0.3107727532
4	0.2807197733
5	0.2555061958
6	0.2364965956
7	0.2229030663
8	0.2137643532
9	0.205893345
10	0.1992647591
11	0.1940767846
12	0.1886750533
13	0.1854854397
14	0.1829718754
15	0.1801342195
16	0.1781865504
17	0.1752761481
18	0.1730932438
19	0.1717996183
20	0.1702102992
21	0.1691986322
22	0.168188839
23	0.1667729258
24	0.165801486
25	0.1642765078
26	0.1633297581
27	0.1623657201
28	0.1617236268
29	0.161373339
30	0.1609334969
31	0.1599123161
32	0.1593627128
33	0.1588463841
34	0.1583510956
35	0.1576108881
36	0.1571492877
37	0.1566169359
38	0.1563671961
39	0.156005617
40	0.155671226
41	0.1554334848
42	0.154896481
43	0.1547259049
44	0.1543125795
45	0.1540975734
46	0.1539097015
47	0.1537381171
48	0.1534438408
49	0.153287495
50	0.1531145645
51	0.1529933428
52	0.1526769443
53	0.1524582672
54	0.152230909
55	0.1520637326
56	0.1518141574
57	0.1517103259
58	0.1515255969
59	0.1513528017
60	0.1512273797
61	0.1511403741
62	0.1509637098
63	0.1506278129
64	0.1504731387
65	0.1503639482
66	0.1502384789
67	0.1500563888
68	0.1499241382
69	0.1497808654
70	0.1496538358
71	0.1495393562
72	0.1494043625
73	0.149322341
74	0.1492115803
75	0.1491230914
76	0.1490063887
77	0.1489465496
78	0.1488428436
79	0.1487375665
80	0.1486047169
81	0.1484504281
82	0.1483556867
83	0.1482251383
84	0.1481489818
85	0.1480684548
86	0.1480126924
87	0.1479225989
88	0.1478380029
89	0.147800477
90	0.1477743164
91	0.147678961
92	0.1476008057
93	0.1475211739
94	0.147441439
95	0.1473938417
96	0.1473156908
97	0.1472021139
98	0.1471611543
99	0.1470361333
100	0.1469533245
101	0.1469210638
102	0.1468831447
103	0.1468254812
104	0.1467359357
105	0.1467006984
106	0.1466332679
107	0.14658123
108	0.1465812035
109	0.1465414861
110	0.1465092985
111	0.1464443219
112	0.1464427956
113	0.146327948
114	0.1462515835
115	0.1462173939
116	0.1461621091
117	0.1460637469
118	0.1460088173
119	0.1459586451
120	0.1459157464
121	0.1458739325
122	0.1458298549
123	0.1457948885
124	0.1457555294
125	0.1457217541
126	0.1456771977
127	0.1456055811
128	0.145544235
129	0.1455090837
130	0.1454632454
131	0.1453936429
132	0.1452684291
133	0.1452071619
134	0.1452017029
135	0.1451664335
136	0.1451260329
137	0.1450957093
138	0.1450596093
139	0.1450116288
140	0.1449623839
141	0.144896536
142	0.1448825109
143	0.1447439498
144	0.1446639166
145	0.1446229342
146	0.1445394993
147	0.1444857637
148	0.1444635136
149	0.1444278785
150	0.1443692919
151	0.1443241365
152	0.1442831601
153	0.1442226529
154	0.1441354746
155	0.144105718
156	0.1440661506
157	0.1440638659
158	0.1440318981
159	0.1439821901
160	0.1439168497
161	0.1438739244
162	0.1438356706
163	0.1437982614
164	0.1437385281
165	0.143712797
166	0.1436498264
167	0.1436026123
168	0.1435877563
169	0.1435615856
170	0.1434931956
171	0.1434397308
172	0.143400147
173	0.143340374
174	0.1432325536
175	0.1432004596
176	0.1431670976
177	0.1431237049
178	0.1430877933
179	0.1430730529
180	0.1430341512
181	0.1430103181
182	0.1429436732
183	0.1428682422
184	0.142833137
185	0.1427933514
186	0.1427445137
187	0.1426835229
188	0.1426481738
189	0.1425807143
190	0.1425457097
191	0.1425246797
192	0.1424885296
193	0.142470442
194	0.1424473082
195	0.1423670317
196	0.1422831751
197	0.1422605432
198	0.1422024546
199	0.1421993437
200	0.142187748
201	0.142159969
202	0.142133004
203	0.1421060183
204	0.1421015727
205	0.1420701893
206	0.1420228683
207	0.1420114673
208	0.1419818082
209	0.1419693786
210	0.141955299
211	0.1418804872
212	0.1418386529
213	0.1418004421
214	0.1417621471
215	0.1417257262
216	0.1416466449
217	0.1415831291
218	0.141549918
219	0.1415114293
220	0.1414755083
221	0.1414029031
222	0.1413804784
223	0.1413504775
224	0.1412889998
225	0.1412633828
226	0.1412425238
227	0.1412303253
228	0.1411930945
229	0.1411672071
230	0.141136739
231	0.1411330731
232	0.1411018795
233	0.1410595964
234	0.1410250915
235	0.1409737399
236	0.140958697
237	0.1409473563
238	0.1409293548
239	0.1409187943
240	0.140882158
241	0.1408725189
242	0.140849483
243	0.1407623061
244	0.1407206852
245	0.1406928352
246	0.1406028515
247	0.1405584393
248	0.1404656448
249	0.1404415308
250	0.1403998654
251	0.140318158
252	0.14030027
253	0.1402619139
254	0.1402538076
255	0.1402020847
256	0.140190625
257	0.1401666812
258	0.1401308607
259	0.1400865971
260	0.1400634555
261	0.1400508627
262	0.1399938643
263	0.1399568369
264	0.1399355602
265	0.1399170273
266	0.1398824299
267	0.1398261523
268	0.1397975342
269	0.1397705842
270	0.1397388715
271	0.139716153
272	0.1396963227
273	0.1396802694
274	0.1396633696
275	0.1396259154
276	0.1395581902
277	0.1395189708
278	0.13947306
279	0.139433778
280	0.1394263342
281	0.1394076879
282	0.1393655806
283	0.1393260941
284	0.1393042754
285	0.1392527778
286	0.1392526527
287	0.1392407571
288	0.1391972646
289	0.1391471498
290	0.1391305818
291	0.1391178153
292	0.1390742524
293	0.1390632678
294	0.1390388527
295	0.1389914323
296	0.1389411015
297	0.1389118857
298	0.1388719163
299	0.1388582009
300	0.1388534525
301	0.1388010654
302	0.1387376635
303	0.138703209
304	0.1387011393
305	0.138661733
306	0.1386435265
