iter	Logloss
0	0.535890806
1	0.4332950229
2	0.3602108336
3	0.3164613143
4	0.280663425
5	0.2552061132
6	0.237921956
7	0.2252654225
8	0.2139441589
9	0.2061891462
10	0.198824045
11	0.19473281
12	0.1897016755
13	0.1865872757
14	0.1842412019
15	0.181738672
16	0.1803803607
17	0.1779870366
18	0.1757404357
19	0.1730640511
20	0.1707375322
21	0.1696446027
22	0.1680403328
23	0.1670064502
24	0.1660464719
25	0.1653528775
26	0.1647604733
27	0.1640366475
28	0.1635705695
29	0.162694857
30	0.1621010996
31	0.1613506205
32	0.1604677403
33	0.1599528732
34	0.1595071448
35	0.15919675
36	0.1586987434
37	0.1582380662
38	0.1578335253
39	0.1574333377
40	0.1571697451
41	0.1570189312
42	0.1568091963
43	0.1563123446
44	0.1560381978
45	0.15569009
46	0.15544017
47	0.1552149958
48	0.1550140158
49	0.1547674702
50	0.1546681115
51	0.1544012251
52	0.1542415088
53	0.1540903091
54	0.153980635
55	0.1537480319
56	0.153543795
57	0.1533440438
58	0.1532649513
59	0.1530782484
60	0.1529328877
61	0.1527469389
62	0.1526663582
63	0.1524921525
64	0.1522412483
65	0.1520905997
66	0.1520030528
67	0.1518871199
68	0.1517978056
69	0.1517349975
70	0.1515409319
71	0.1514979997
72	0.1513977436
73	0.151324285
74	0.1512422616
75	0.1511642637
76	0.1510711595
77	0.1509978628
78	0.1509281049
79	0.1508601644
80	0.1507645781
81	0.1507252051
82	0.1506353366
83	0.1505573444
84	0.1504768267
85	0.1504066172
86	0.1503393872
87	0.150252858
88	0.1501007023
89	0.1500369365
90	0.1499585894
91	0.1498839996
92	0.1498204339
93	0.149771039
94	0.1497092658
95	0.1496487282
96	0.1495939164
97	0.1495266087
98	0.1494951411
99	0.1494559967
100	0.149400911
101	0.1493793959
102	0.1493210211
103	0.149267852
104	0.1491975069
105	0.1491471844
106	0.149109033
107	0.1490742229
108	0.148977795
109	0.1489169375
110	0.1488585123
111	0.1487801046
112	0.1487211037
113	0.1487193219
114	0.1485583445
115	0.1484537328
116	0.148282741
117	0.1482167428
118	0.1480732519
119	0.1480065835
120	0.1479856243
121	0.1479663361
122	0.1479467883
123	0.1478832258
124	0.1478362313
125	0.1477574749
126	0.1477141587
127	0.1476731682
128	0.1475916858
129	0.1475412345
130	0.1474759943
131	0.1473525497
132	0.1473225906
133	0.147293826
134	0.1471998528
135	0.1471723438
136	0.1471255224
137	0.147108975
138	0.1469646248
139	0.1468934591
140	0.1468362853
141	0.146778884
142	0.1467347335
143	0.1467109487
144	0.1466836069
145	0.1465745573
146	0.1465265228
147	0.1464660024
148	0.1464030972
149	0.1463736036
150	0.1463263586
151	0.1462817223
152	0.1462554245
153	0.1462336623
154	0.1462149264
155	0.1461737912
156	0.1461549826
157	0.1461150542
158	0.1461049488
159	0.1460431161
160	0.1459836367
161	0.145965773
162	0.1458503246
163	0.1457943771
164	0.1457452503
165	0.1457239698
166	0.145694511
167	0.145670073
168	0.1456413061
169	0.1456048456
170	0.1455502719
171	0.1454807049
172	0.1454630731
173	0.1454478004
174	0.1454251582
175	0.1454008559
176	0.1453356263
177	0.1452861666
178	0.1452441027
179	0.1452017323
180	0.1451853559
181	0.1451204262
182	0.1450780875
183	0.1450441954
184	0.1449957781
185	0.1449913838
186	0.1449728475
187	0.1449401261
188	0.1448947123
189	0.1448450748
190	0.1448183513
191	0.1448066419
192	0.1447992697
193	0.1447420612
194	0.1446934007
195	0.1446223724
196	0.144589393
197	0.1445164635
198	0.1444556097
199	0.1443728318
200	0.1443642515
201	0.1443465557
202	0.1442560376
203	0.1441802584
204	0.1441638968
205	0.1440847606
206	0.1440528635
207	0.1440314368
208	0.1440038898
209	0.1439856086
210	0.1439693309
211	0.1439337139
212	0.1439265821
213	0.1438783932
214	0.1438531595
215	0.1438184011
216	0.1437827749
217	0.1437447464
218	0.1436941392
219	0.143619234
220	0.1436038434
221	0.1435970904
222	0.1435580392
223	0.1435016351
224	0.1434754432
225	0.1434477347
226	0.1434323133
227	0.143380789
228	0.1433367278
229	0.1433096647
230	0.1433033863
231	0.1432473818
232	0.143238604
233	0.1431914313
234	0.1431806257
235	0.1431129927
236	0.1431092418
237	0.1430655874
238	0.143036185
239	0.1430303971
240	0.1430248092
241	0.1429599033
242	0.1429192068
243	0.1428939582
244	0.1428359654
245	0.1427722441
246	0.1427463191
247	0.1427276507
248	0.1427175331
249	0.1426876623
250	0.142649879
251	0.1425965654
252	0.1425496644
253	0.142536046
254	0.1425289898
255	0.1424892647
256	0.1424220617
257	0.1423802499
258	0.1423388504
259	0.1423282531
260	0.1423149566
261	0.1422699984
262	0.1422019835
263	0.1421990065
264	0.1421429527
265	0.1421131567
266	0.1420883777
267	0.1420601842
268	0.1420254481
269	0.1420187737
270	0.1419598497
271	0.1419046818
272	0.1418604041
273	0.1418499346
274	0.1418423088
275	0.1418044818
276	0.1417725643
277	0.1417203622
278	0.1417129898
279	0.1417069736
280	0.1416403732
281	0.1416035453
282	0.141581066
283	0.1415402153
284	0.1415046121
285	0.1414489598
286	0.1413772388
287	0.1413295624
288	0.1412748772
289	0.1412477861
290	0.1412236611
291	0.1412193714
292	0.1411859612
293	0.1411761135
294	0.1411238192
295	0.1411182608
296	0.1411146189
297	0.1411012607
298	0.1410888346
299	0.1410797278
300	0.1410410485
301	0.141024792
302	0.141004411
303	0.140999495
304	0.1409367486
305	0.1409079237
306	0.1408515502
307	0.1407826146
308	0.1407348223
309	0.1407308492
310	0.1407161409
311	0.1406746935
312	0.1406685188
313	0.1406364229
314	0.1405755327
315	0.1405158204
316	0.1404777714
317	0.140449213
318	0.1403886561
319	0.1403609699
320	0.140338178
321	0.1403180285
322	0.1403133676
323	0.14029682
324	0.1402813211
325	0.1402697974
326	0.1402128718
327	0.140175601
328	0.140169151
329	0.1401497305
330	0.1401184268
331	0.1400279654
332	0.140018739
333	0.1399506376
334	0.1399049924
335	0.1398592893
336	0.1398443899
337	0.1397678172
338	0.1396946985
339	0.1396383368
340	0.1396238219
341	0.1396020597
342	0.1395695364
343	0.1395451772
344	0.1395319866
345	0.1395010253
346	0.1394809432
347	0.1394514129
348	0.1394377456
349	0.1394028723
350	0.1394023479
351	0.1393913477
352	0.1393850403
353	0.1393449873
354	0.1393281711
355	0.1392774304
356	0.1392253798
