iter	Passed	Remaining
0	42	42831
1	81	40661
2	121	40473
3	159	39800
4	198	39547
5	238	39593
6	277	39374
7	317	39413
8	354	39056
9	394	39013
10	433	38967
11	472	38872
12	507	38559
13	541	38120
14	582	38234
15	616	37929
16	653	37778
17	687	37501
18	719	37155
19	749	36735
20	784	36564
21	825	36691
22	865	36747
23	909	36989
24	947	36950
25	986	36943
26	1020	36779
27	1042	36205
28	1071	35862
29	1108	35838
30	1145	35820
31	1180	35720
32	1217	35669
33	1257	35731
34	1296	35738
35	1333	35707
36	1371	35701
37	1408	35662
38	1430	35248
39	1451	34843
40	1484	34713
41	1516	34597
42	1551	34530
43	1585	34438
44	1624	34473
45	1667	34574
46	1705	34587
47	1744	34604
48	1782	34591
49	1820	34581
50	1853	34485
51	1893	34526
52	1931	34518
53	1969	34500
54	2009	34532
55	2051	34581
56	2088	34550
57	2127	34552
58	2158	34433
59	2194	34387
60	2216	34123
61	2248	34020
62	2288	34039
63	2332	34115
64	2365	34031
65	2403	34014
66	2441	33996
67	2482	34019
68	2518	33980
69	2554	33937
70	2594	33943
71	2635	33974
72	2675	33973
73	2713	33950
74	2750	33920
75	2789	33917
76	2816	33755
77	2851	33702
78	2886	33646
79	2928	33674
80	2965	33647
81	3002	33609
82	3039	33583
83	3067	33452
84	3098	33351
85	3134	33311
86	3169	33256
87	3213	33303
88	3249	33258
89	3283	33198
90	3323	33202
91	3362	33189
92	3404	33201
93	3442	33178
94	3481	33167
95	3522	33170
96	3560	33147
97	3597	33114
98	3638	33112
99	3677	33094
100	3716	33084
101	3749	33012
102	3787	32982
103	3831	33006
104	3867	32965
105	3903	32922
106	3945	32924
107	3983	32901
108	4022	32882
109	4057	32831
110	4097	32817
111	4135	32789
112	4171	32748
113	4208	32704
114	4245	32670
115	4280	32620
116	4318	32593
117	4355	32553
118	4391	32511
119	4430	32491
120	4469	32465
121	4502	32403
122	4540	32377
123	4580	32359
124	4617	32319
125	4651	32267
126	4693	32261
127	4729	32219
128	4766	32184
129	4803	32146
130	4828	32031
131	4863	31981
132	4894	31906
133	4915	31769
134	4944	31678
135	4979	31635
136	5023	31646
137	5050	31547
138	5077	31452
139	5116	31431
140	5154	31401
141	5188	31353
142	5220	31287
143	5242	31166
144	5287	31179
145	5330	31180
146	5370	31161
147	5407	31131
148	5454	31151
149	5488	31100
150	5532	31107
151	5569	31072
152	5607	31043
153	5641	30992
154	5680	30965
155	5719	30942
156	5756	30906
157	5791	30864
158	5841	30898
159	5874	30842
160	5909	30794
161	5948	30771
162	5976	30689
163	6008	30626
164	6047	30605
165	6087	30583
166	6124	30548
167	6163	30521
168	6206	30519
169	6229	30416
170	6259	30346
171	6313	30393
172	6351	30360
173	6389	30330
174	6419	30265
175	6453	30215
176	6484	30150
177	6508	30055
178	6546	30024
179	6591	30027
180	6635	30024
181	6659	29932
182	6680	29826
183	6728	29839
184	6779	29867
185	6836	29918
186	6877	29898
187	6925	29912
188	6974	29926
189	7016	29913
190	7064	29922
191	7106	29905
192	7147	29887
193	7192	29883
194	7236	29875
195	7278	29858
196	7315	29817
197	7365	29834
198	7406	29813
199	7451	29807
200	7490	29777
201	7530	29748
202	7568	29713
203	7612	29702
204	7652	29677
205	7694	29655
206	7728	29609
207	7762	29556
208	7797	29509
209	7849	29528
210	7899	29540
211	7936	29501
212	7984	29500
213	8029	29491
214	8073	29476
215	8122	29480
216	8153	29421
217	8195	29397
218	8240	29387
219	8278	29349
220	8328	29355
221	8377	29357
222	8419	29334
223	8452	29281
224	8489	29241
225	8528	29209
226	8572	29190
227	8610	29154
228	8652	29132
229	8692	29100
230	8737	29086
231	8781	29068
232	8811	29006
233	8853	28983
234	8897	28962
235	8937	28931
236	8995	28959
237	9032	28919
238	9074	28892
239	9114	28863
240	9157	28840
241	9199	28814
242	9240	28785
243	9263	28701
244	9304	28673
245	9349	28658
246	9394	28641
247	9438	28620
248	9478	28588
249	9516	28550
250	9555	28514
251	9595	28480
252	9638	28459
253	9677	28421
254	9715	28384
255	9758	28360
256	9806	28352
257	9854	28341
258	9894	28309
259	9922	28240
260	9952	28179
261	9987	28132
262	10027	28101
263	10075	28087
264	10111	28044
265	10153	28017
266	10194	27988
267	10234	27954
268	10271	27911
269	10312	27882
270	10350	27842
271	10384	27794
272	10422	27755
273	10462	27722
274	10504	27692
275	10548	27671
276	10590	27643
277	10631	27611
278	10676	27589
279	10727	27585
280	10763	27540
281	10805	27511
282	10851	27493
283	10890	27455
284	10928	27416
285	10970	27387
286	11009	27351
287	11050	27319
288	11105	27320
289	11142	27278
290	11191	27266
291	11226	27220
292	11267	27187
293	11312	27165
294	11370	27173
295	11419	27159
296	11448	27097
297	11471	27022
298	11488	26935
299	11519	26878
300	11567	26862
301	11615	26845
302	11648	26795
303	11694	26774
304	11734	26739
305	11771	26697
306	11806	26651
307	11833	26586
308	11868	26540
309	11898	26484
310	11923	26415
311	11949	26350
312	12000	26339
313	12039	26303
314	12083	26277
315	12129	26254
316	12174	26230
317	12219	26206
318	12266	26185
319	12313	26167
320	12341	26105
321	12368	26042
322	12396	25981
323	12440	25957
324	12485	25931
325	12528	25902
326	12571	25872
327	12607	25830
328	12647	25794
329	12688	25761
330	12732	25733
331	12766	25687
332	12795	25628
333	12830	25583
334	12871	25551
335	12917	25527
336	12956	25489
337	12990	25443
338	13024	25396
339	13065	25362
340	13101	25319
341	13137	25276
342	13174	25235
343	13212	25195
344	13253	25162
345	13293	25126
346	13329	25084
347	13374	25058
348	13417	25027
349	13450	24979
350	13482	24930
351	13529	24905
352	13575	24882
353	13620	24855
354	13658	24815
355	13698	24781
356	13742	24752
357	13788	24726
358	13822	24680
359	13873	24664
360	13914	24629
361	13967	24615
362	14003	24574
363	14052	24552
364	14094	24520
365	14129	24474
366	14169	24439
367	14198	24384
368	14240	24352
369	14281	24317
370	14327	24290
371	14369	24258
372	14405	24215
373	14442	24174
374	14483	24139
375	14544	24137
376	14596	24121
377	14627	24068
378	14665	24030
379	14708	23997
380	14731	23933
381	14758	23876
382	14786	23820
383	14811	23759
384	14837	23700
385	14881	23672
386	14925	23642
387	14969	23611
388	15010	23576
389	15040	23524
390	15079	23487
391	15118	23449
392	15154	23406
393	15201	23380
394	15239	23341
395	15280	23307
396	15315	23261
397	15357	23229
398	15398	23194
399	15441	23161
400	15487	23134
401	15527	23097
402	15562	23053
403	15604	23020
404	15648	22989
405	15684	22946
406	15720	22905
407	15763	22873
408	15794	22822
409	15832	22783
410	15877	22754
411	15918	22718
412	15953	22675
413	16003	22652
414	16042	22614
415	16082	22577
416	16124	22543
417	16152	22490
418	16185	22442
419	16224	22405
420	16268	22374
421	16310	22339
422	16363	22320
423	16417	22302
424	16453	22260
425	16494	22224
426	16538	22193
427	16583	22163
428	16620	22121
429	16665	22092
